pitch_deg,fxO,fyO,fzO,txO,tyO,tzO,ftx,fty,ftz,eex,eey,eez
-9.810276328760426878e+00,-5.085661943046703160e-01,6.193320422470564024e-01,-7.656193473144865536e+00,-1.957190581315209066e-01,-7.557455805487087730e-01,-5.194445863721680601e-02,3.862708236614281199e-01,6.806875668082178709e-05,3.125071150442695345e-01,5.560208009751965719e-01,-2.448023627021686109e-06,3.125593583092586836e-01
-1.002322970387952417e+01,-5.081352935215251998e-01,6.214503725649946908e-01,-7.582425257626275616e+00,-1.963774160420472814e-01,-7.497705823887007570e-01,-5.211887715691860407e-02,3.851112124119220881e-01,6.764467207099909081e-05,3.123098754386421372e-01,5.548611889898701355e-01,-3.019598377095017829e-06,3.123642661275351506e-01
-1.023902318875643402e+01,-4.956375118296089122e-01,6.202794223617904557e-01,-7.600918972396122797e+00,-1.963268923945729605e-01,-7.470323194221173413e-01,-5.196466794366663700e-02,3.839369702951001551e-01,6.599854453483569377e-05,3.121059403045078340e-01,5.536869460731570491e-01,-5.352713856123192350e-06,3.121619076789211022e-01
-1.045408210017057904e+01,-4.724942852025172391e-01,6.367704315494560063e-01,-7.554872403853287288e+00,-2.020015976471391250e-01,-7.363359802111675290e-01,-5.437059749584190194e-02,3.827681987967491706e-01,6.557462846529601855e-05,3.118942383401778207e-01,5.525181739465585551e-01,-5.925723021531312685e-06,3.119518954190279025e-01
-1.067013417653901541e+01,-4.844295663123259210e-01,6.331385513719213209e-01,-7.661983750614637323e+00,-2.008951848051947764e-01,-7.477633441994722130e-01,-5.305757631367442190e-02,3.815962520854751516e-01,6.636000930829444582e-05,3.116755583427147647e-01,5.513462289118712389e-01,-4.749432478547404440e-06,3.117285761255211285e-01
-1.088682380847409270e+01,-4.668706091888198406e-01,6.466700960668745335e-01,-7.786374531261784249e+00,-2.054576787151268513e-01,-7.536781421761591382e-01,-5.429119353641594786e-02,3.804250488591808255e-01,6.530748120433083439e-05,3.114366857145709488e-01,5.501750273216077236e-01,-7.422572359848817738e-06,3.114816562035787606e-01
-1.111990399394163198e+01,-4.431725014276091112e-01,7.655454427716179566e-01,-1.079125415465392557e+01,-2.430423008297643850e-01,-9.769722072574498206e-01,-6.304842229379749308e-02,3.792849916746975358e-01,6.638910429204478527e-05,3.107145507409379004e-01,5.490349003296749464e-01,-5.823049315186281435e-06,3.105539361970777734e-01
-1.134735865547430400e+01,-4.249786893337201832e-01,7.973198962066417872e-01,-1.159160779748410697e+01,-2.529581443850182909e-01,-1.031552845081251002e+00,-6.547774506731067479e-02,3.780942921045746807e-01,6.777776281957119332e-05,3.103514590089577752e-01,5.478440966028594872e-01,-2.561373943135575857e-06,3.101036179311725260e-01
-1.156420220821279443e+01,-4.127186502894550912e-01,7.964496865287519212e-01,-1.154413587933000862e+01,-2.530624025244461728e-01,-1.022962273988415882e+00,-6.560323393809945614e-02,3.769227300982488926e-01,6.853461042684926376e-05,3.101178414124434735e-01,5.466725437584514236e-01,-1.417769203710848250e-06,3.098762446594749420e-01
-1.177804212615899537e+01,-4.202582433408967866e-01,7.882258964927062461e-01,-1.143173734188370716e+01,-2.508648299594026243e-01,-1.015804620534858982e+00,-6.494357287884819363e-02,3.757644937207109681e-01,6.690750019211187953e-05,3.098973896762983737e-01,5.455143231657531011e-01,-3.731753207477232531e-06,3.096673603846805678e-01
